flight_no,routings,day_ops
AF253,AF,1234567
BR392,BR,1234567
BR396,BR,1234567
CX772,CX,1456
CX764,CX,1234567
CX766,CX,1234567
BR392,CZ,1234567
BR392,CZ,1234567
BR392,CZ,1234567
BR392,CZ,1234567
BR392,CZ,1234567
BR392,CZ,1234567
TG755,TG,1234567
BR751,TG,1234567
BR392,CA,1234567
MU282,MU,1234567
BR392,BR,1234567
PR392,PR,12346
PR392,PR,57
CI782,CI,1234567
CI784,CI,1234567
KE686,KE,1234567
KE392,KE,1234567
KE392,KE,1234567
5J392,5J,1234567
5J392,5J,1234567
EY392,EY,1234567
SU392,SU,1234567
QV392,QV,1234567
K6819,K6,1234567
BR392,K6,1234567
BR392,K6,1234567
BR392,K6,1234567
BR392,K6,1234567
MH767,MH,1234567
BR392,K6,1234567
BR392,K6,1234567
